pH,EC (us/cm),CEC (cmol/kg),C (%),H (%),N (%),O (%),S (%),O/C,C/N,H/C,P (g/kg),K (g/kg),AR (%),Reference
6.4,"1,006.8",,80.1,,0.4,,,,233.53,,1.1,2.8,1.0,Yan et al. (2024)
6.5,"1,245.4",,79.0,,1.3,,,,70.87,,16.1,4.9,1.0,Yan et al. (2024)
6.2,"1,193.5",,80.1,,1.3,,,,71.85,,15.0,6.6,1.0,Yan et al. (2024)
6.4,564.3,,25.9,3.0,1.4,15.2,0.4,0.44,21.57,1.38,,,0.5,Lang et al. (2023)
6.4,564.3,,25.9,3.0,1.4,15.2,0.4,0.44,21.57,1.38,,,1.0,Lang et al. (2023)
4.2,419.6,,52.7,5.7,0.8,37.4,0.1,0.53,76.82,1.29,,,0.5,Lang et al. (2023)
4.2,419.6,,52.7,5.7,0.8,37.4,0.1,0.53,76.82,1.29,,,1.0,Lang et al. (2023)
4.6,"1,456.6",,57.8,4.9,1.1,31.9,0.2,0.41,61.28,1.01,,,0.5,Lang et al. (2023)
4.6,"1,456.6",,57.8,4.9,1.1,31.9,0.2,0.41,61.28,1.01,,,1.0,Lang et al. (2023)
5.1,,,53.2,4.5,1.2,34.7,0.7,0.49,51.70,1.01,,,1.0,Lang et al. (2024b)
5.8,,,47.8,1.1,0.5,36.4,0.7,0.57,111.49,0.27,,,1.0,Lang et al. (2024b)
7.4,,,39.8,3.6,0.7,37.5,0.4,0.71,66.31,1.08,,,1.0,Lang et al. (2024b)
8.8,,,33.8,3.2,0.5,39.1,0.4,0.87,78.83,1.13,,,1.0,Lang et al. (2024b)
6.4,"4,280.0",56.7,35.2,5.1,5.3,20.2,,0.43,7.75,1.73,39.3,3.3,2.5,Ebrahimi et al. (2022)
7.1,"1,980.0",31.1,36.9,4.5,3.8,12.1,,0.25,11.32,1.45,50.6,3.1,2.5,Ebrahimi et al. (2022)
5.9,"1,130.0",33.0,41.0,5.3,2.7,37.0,,0.68,17.71,1.54,16.2,1.2,2.5,Ebrahimi et al. (2022)
5.7,"1,020.0",32.7,50.3,5.0,3.6,17.7,,0.26,16.29,1.18,22.1,1.5,2.5,Ebrahimi et al. (2022)
5.9,"1,740.0",34.8,41.4,5.2,3.1,32.5,,0.59,15.57,1.50,21.6,1.8,2.5,Ebrahimi et al. (2022)
5.9,"1,350.0",27.0,51.3,5.2,3.4,18.1,,0.26,17.60,1.21,26.0,1.6,2.5,Ebrahimi et al. (2022)
4.2,788.0,,69.2,,1.5,,,,53.80,,0.5,,3.0,Wang et al. (2024)
7.7,"1,698.0",,23.6,,1.4,,,,19.66,,4.4,,3.0,Wang et al. (2024)
4.4,845.0,,59.3,,2.1,,,,32.93,,0.4,,3.0,Wang et al. (2024)
4.0,,15.1,65.0,3.7,2.1,29.9,,0.35,36.10,0.68,,,5.0,Wu et al. (2021)
4.0,,15.1,65.0,3.7,2.1,29.9,,0.35,36.10,0.68,,,15.0,Wu et al. (2021)
4.9,,12.0,51.1,3.4,3.2,45.1,,0.66,18.62,0.79,,,5.0,Wu et al. (2021)
