pH,EC (us/cm),CEC (cmol/kg),OM (g/kg),TC (mg/g),MBC mg/g,TN (mg/g),TP (mg/g),TK (mg/g),NH4+-N (mg/g),NO3--N (mg/g),AN (mg/g),AP (mg/g),AK (mg/g),Reference
6.4,819.2,,10.8,,,671.7,968.3,"1,955.8",,,,,,Yan et al. (2024)
6.4,"1,016.2",,8.1,,,761.7,"1,079.2","2,161.7",,,,,,Yan et al. (2024)
6.3,993.5,,12.7,,,710.0,998.3,"2,001.7",,,,,,Yan et al. (2024)
7.8,162.8,,50.6,29.4,,3.5,21.5,,,,,,,Lang et al. (2023)
7.9,166.7,,53.3,29.2,,3.4,21.6,,,,,,,Lang et al. (2023)
7.9,144.1,,53.1,29.9,,3.5,20.5,,,,,,,Lang et al. (2023)
7.9,154.7,,55.8,30.4,,3.4,21.1,,,,,,,Lang et al. (2023)
7.9,146.1,,53.5,30.4,,3.4,21.4,,,,,,,Lang et al. (2023)
7.9,156.5,,59.1,33.3,,3.5,21.6,,,,,,,Lang et al. (2023)
7.7,235.0,,36.3,,,,,,,,,,,Lang et al. (2024b)
7.7,239.0,,34.1,,,,,,,,,,,Lang et al. (2024b)
7.9,257.0,,33.8,,,,,,,,,,,Lang et al. (2024b)
8.1,273.0,,32.6,,,,,,,,,,,Lang et al. (2024b)
4.8,"1,011.6",14.1,,,,,,,232.9,,,"4,450.0",,Ebrahimi et al. (2022)
7.7,221.4,9.6,,,,,,,106.2,,,"2,550.0",,Ebrahimi et al. (2022)
5.1,403.1,12.5,,,,,,,80.8,,,"2,830.0",,Ebrahimi et al. (2022)
6.9,86.2,19.3,,,,,,,184.1,,,"1,780.0",,Ebrahimi et al. (2022)
5.2,467.3,12.2,,,,,,,32.5,,,"1,330.0",,Ebrahimi et al. (2022)
7.2,60.8,19.9,,,,,,,-,,,"1,780.0",,Ebrahimi et al. (2022)
7.7,-,17.7,,,,,,,,,,10.0,,Wang et al. (2024)
7.7,-,18.3,,,,,,,,,,1.1,,Wang et al. (2024)
7.7,-,16.9,,,,,,,,,,9.4,,Wang et al. (2024)
7.5,,22.8,16.9,,,,,,,0.6,,,,Wu et al. (2021)
7.5,,21.3,29.3,,,,,,,0.8,,,,Wu et al. (2021)
7.5,,24.2,17.4,,,,,,,1.0,,,,Wu et al. (2021)
7.6,,22.5,28.4,,,,,,,0.7,,,,Wu et al. (2021)
9.1,,,,,,0.7,0.8,0.4,,,,,,Gebretsadkan et al. (2024)
6.0,,,20.8,,,,,,1.1,67.4,,,,Chu et al. (2025)
7.6,"1,154.2",,,28.8,,1.7,,,,,,,,You et al. (2023)
7.4,"1,502.5",,,51.8,,3.0,,,,,,,,You et al. (2023)
6.5,,,32.7,,,,,,,4.8,,,,Chen et al. (2021)
6.6,,,41.9,,,,,,,2.7,,,,Chen et al. (2021)
7.3,,,,,,,,,13.5,13.6,,,,Han et al. (2022)
6.0,,,,,,,,,,,,180.8,724.4,Piash et al. (2025)
6.8,,16.9,22.4,,,,,,,,,,,Sun et al. (2020)
6.1,,18.8,21.5,,,,,,,,,,,Sun et al. (2020)
6.8,,17.0,21.4,,,,,,,,,,,Sun et al. (2020)
6.1,,18.3,21.6,,,,,,,,,,,Sun et al. (2020)
,,,,,,,,,4.4,4.3,,,,Zhu et al. (2023)
,,,,,,,,,4.3,8.0,,,,Zhu et al. (2023)
,,,,,,,,,4.2,8.4,,,,Zhu et al. (2023)
,,,,,,,,,4.1,4.4,,,,Zhu et al. (2023)
,,,,,,,,,4.2,8.4,,,,Zhu et al. (2023)
,,,,,,,,,4.3,9.3,,,,Zhu et al. (2023)
,,,,,,,,,3.8,3.8,,,,Zhu et al. (2023)
,,,,,,,,,4.0,5.0,,,,Zhu et al. (2023)
,,,,,,,,,4.7,4.2,,,,Zhu et al. (2023)
,,,,,,,,,4.7,3.9,,,,Zhu et al. (2023)
,,,,,,,,,4.2,"4,954.0",,,,Zhu et al. (2023)
,,,,,,,,,4.9,4.0,,,,Zhu et al. (2023)
7.1,,,,,,,,,,,,,,Miao et al. (2023)
7.1,,,,,,,,,,,,,,Miao et al. (2023)
7.0,,,,,,,,,,,,,,Miao et al. (2023)
7.1,,,,,,,,,,,,,,Miao et al. (2023)
6.4,,9.3,,15.5,,1.1,0.7,0.1,,,,,,Ro et al. (2016)
6.3,,10.5,,12.6,,0.9,0.8,0.1,,,,,,Ro et al. (2016)
6.7,,13.3,,13.0,,0.9,1.1,0.1,,,,,,Ro et al. (2016)
8.8,,15.3,,,,,,,,,64.0,13.4,182.4,Sun et al. (2024)
8.4,,16.6,,,,,,,,,76.9,16.9,194.1,Sun et al. (2024)
7.6,,,,27.5,0.6,1.7,,,,,,,,Wang et al. (2023)
7.3,,,,50.6,1.3,3.0,,,,,,,,Wang et al. (2023)
6.2,,,,,,,,,139.7,31.5,,63.4,43.1,Gao et al. (2024)
6.3,,,,,,,,,34.9,31.0,,124.6,30.0,Gao et al. (2024)
,,,13.1,,,,,,,,105.5,7.3,89.3,Wu et al. (2019)
,,,14.7,,,,,,,,119.0,8.2,91.2,Wu et al. (2019)
,,,18.4,,,,,,,,126.0,10.3,91.4,Wu et al. (2019)
,,,24.3,,,,,,,,143.3,12.4,91.4,Wu et al. (2019)
,,,47.8,,,,,,,,166.6,18.3,92.2,Wu et al. (2019)
5.8,,,,,,,,,16.0,50.3,,25.5,311.0,Li et al. (2021)
7.0,158.6,,17.5,,,,,,,,58.3,15.5,203.2,Zhang et al. (2021)
6.9,177.6,,20.1,,,,,,,,63.5,27.5,237.5,Zhang et al. (2021)
6.9,203.1,,25.2,,,,,,,,70.2,49.1,300.7,Zhang et al. (2021)
8.1,,,,,,146.4,,,4.3,21.9,,,,Yuan et al. (2024)
6.6,305.0,16.0,25.8,,0.5,2.4,,,,,,,,Di Santo et al. (2025)
6.8,428.0,15.8,38.1,,0.4,2.6,,,,,,,,Di Santo et al. (2025)
6.7,310.0,15.2,26.9,,0.5,2.3,,,,,,,,Di Santo et al. (2025)
6.8,366.0,14.5,38.3,,0.5,2.4,,,,,,,,Di Santo et al. (2025)
8.1,,,9.8,,,0.6,0.1,127.5,,,,,,Li et al. (2022)
