Reference,pH,C (%),N (%),P (g/kg),K (g/kg),O/C,H/C,SQI,Soil_reference
Yan et al. (2024),6.4,80.1,0.4,1.1,2.8,,,0.48275093381006234,Yan et al. (2024)
Yan et al. (2024),6.5,79.0,1.3,16.1,4.9,,,0.5250611836756119,Yan et al. (2024)
Yan et al. (2024),6.2,80.1,1.3,15.0,6.6,,,0.5076277568766897,Yan et al. (2024)
Lang et al. (2023),6.4,25.9,1.4,,,0.44,1.38,0.3157178355829957,Lang et al. (2023)
Lang et al. (2023),6.4,25.9,1.4,,,0.44,1.38,0.32660166755262865,Lang et al. (2023)
Lang et al. (2023),4.2,52.7,0.8,,,0.53,1.29,0.3248056162860884,Lang et al. (2023)
Lang et al. (2023),4.2,52.7,0.8,,,0.53,1.29,0.3331002563714087,Lang et al. (2023)
Lang et al. (2023),4.6,57.8,1.1,,,0.41,1.01,0.3263452551039682,Lang et al. (2023)
Lang et al. (2023),4.6,57.8,1.1,,,0.41,1.01,0.34361636473435553,Lang et al. (2023)
Lang et al. (2024b),5.1,53.2,1.2,,,0.49,1.01,0.2942211521195908,Lang et al. (2024b)
Lang et al. (2024b),5.8,47.8,0.5,,,0.57,0.27,0.2885300943898595,Lang et al. (2024b)
Lang et al. (2024b),7.4,39.8,0.7,,,0.71,1.08,0.29574412291281094,Lang et al. (2024b)
Lang et al. (2024b),8.8,33.8,0.5,,,0.87,1.13,0.30039127528977855,Lang et al. (2024b)
Ebrahimi et al. (2022),6.4,35.2,5.3,39.3,3.3,0.43,1.73,0.3436283747653984,Ebrahimi et al. (2022)
Ebrahimi et al. (2022),7.1,36.9,3.8,50.6,3.1,0.25,1.45,0.3183680062167824,Ebrahimi et al. (2022)
Ebrahimi et al. (2022),5.9,41.0,2.7,16.2,1.2,0.68,1.54,0.24023497256585222,Ebrahimi et al. (2022)
Ebrahimi et al. (2022),5.7,50.3,3.6,22.1,1.5,0.26,1.18,0.2955746675182857,Ebrahimi et al. (2022)
Ebrahimi et al. (2022),5.9,41.4,3.1,21.6,1.8,0.59,1.5,0.20707474222361383,Ebrahimi et al. (2022)
Ebrahimi et al. (2022),5.9,51.3,3.4,26.0,1.6,0.26,1.21,0.26051452635590483,Ebrahimi et al. (2022)
Wang et al. (2024),4.2,69.2,1.5,0.5,,,,0.26107700326440464,Wang et al. (2024)
Wang et al. (2024),7.7,23.6,1.4,4.4,,,,0.261195146828886,Wang et al. (2024)
Wang et al. (2024),4.4,59.3,2.1,0.4,,,,0.26069831124974946,Wang et al. (2024)
Wu et al. (2021),4.0,65.0,2.1,,,0.35,0.68,0.24247403621853802,Wu et al. (2021)
Wu et al. (2021),4.0,65.0,2.1,,,0.35,0.68,0.275340929536575,Wu et al. (2021)
Wu et al. (2021),4.9,51.1,3.2,,,0.66,0.79,0.24447136377815434,Wu et al. (2021)
Wu et al. (2021),4.9,51.1,3.2,,,0.66,0.79,0.27687950505918885,Wu et al. (2021)
Gebretsadkan et al. (2024),,32.1,3.1,,,0.39,1.63,0.2687480203056795,Gebretsadkan et al. (2024)
Chu et al. (2025),4.0,29.9,0.9,,,,1.43,0.18920580417971367,Chu et al. (2025)
You et al. (2023),4.2,53.2,1.6,,,,,0.3111108407741604,You et al. (2023)
You et al. (2023),4.2,53.2,1.6,,,,,0.3384046435237664,You et al. (2023)
Chen et al. (2021),4.0,65.0,2.1,,,0.33,0.68,0.24778744738823885,Chen et al. (2021)
Chen et al. (2021),4.0,65.0,2.1,,,0.33,0.68,0.27610588178819506,Chen et al. (2021)
Han et al. (2022),4.6,,1.2,1.6,36.3,,,0.24682734090493702,Han et al. (2022)
Piash et al. (2025),7.5,38.7,4.3,33.0,25.0,0.45,1.17,0.21015193877902177,Piash et al. (2025)
Sun et al. (2020),4.6,51.8,1.8,,,0.21,0.69,0.23074567540320354,Sun et al. (2020)
Sun et al. (2020),4.6,51.8,1.8,,,0.21,0.69,0.205229351309312,Sun et al. (2020)
Sun et al. (2020),3.7,60.8,1.5,,,0.42,0.65,0.22808547884790067,Sun et al. (2020)
Sun et al. (2020),3.7,60.8,1.5,,,0.42,0.65,0.20526994180924482,Sun et al. (2020)
Zhu et al. (2023),,36.7,3.9,,,0.34,1.01,0.2449344292760658,Zhu et al. (2023)
Zhu et al. (2023),,36.7,3.9,,,0.34,1.01,0.2449066675310237,Zhu et al. (2023)
Zhu et al. (2023),,36.7,3.9,,,0.34,1.01,0.2448777259931066,Zhu et al. (2023)
Zhu et al. (2023),,36.8,2.9,,,0.32,1.0,0.24484721139802282,Zhu et al. (2023)
Zhu et al. (2023),,36.8,2.9,,,0.32,1.0,0.2448777259931066,Zhu et al. (2023)
