indicator,PC1_loading,PC1_explained_variance,PC1_eigenvalue,PC2_loading,PC2_explained_variance,PC2_eigenvalue,PC3_loading,PC3_explained_variance,PC3_eigenvalue
pH,-0.3137979440669971,0.27618305001347226,0.05188414490715369,0.46328237350350915,0.16840778314854107,0.03163732830072372,0.5900572331963442,0.15901444581938487,0.029872682443116087
EC (us/cm),0.3522844989762557,0.27618305001347226,0.05188414490715369,-0.151867692447776,0.16840778314854107,0.03163732830072372,0.1829403504277326,0.15901444581938487,0.029872682443116087
CEC (cmol/kg),-0.005708554256339967,0.27618305001347226,0.05188414490715369,0.03371959551484805,0.16840778314854107,0.03163732830072372,0.07168096311986903,0.15901444581938487,0.029872682443116087
OM (g/kg),-0.19659515333581887,0.27618305001347226,0.05188414490715369,-0.7127610765364071,0.16840778314854107,0.03163732830072372,0.6248326243171306,0.15901444581938487,0.029872682443116087
TC (mg/g),0.03820353016143981,0.27618305001347226,0.05188414490715369,0.007226354244076142,0.16840778314854107,0.03163732830072372,0.10880590150054556,0.15901444581938487,0.029872682443116087
MBC mg/g,0.00011609754136440777,0.27618305001347226,0.05188414490715369,0.029204705710831873,0.16840778314854107,0.03163732830072372,0.00587050915728106,0.15901444581938487,0.029872682443116087
TN (mg/g),0.5199760509355354,0.27618305001347226,0.05188414490715369,0.09568678908900702,0.16840778314854107,0.03163732830072372,0.18668354745488466,0.15901444581938487,0.029872682443116087
TP (mg/g),0.5188896460358349,0.27618305001347226,0.05188414490715369,0.08949000880455067,0.16840778314854107,0.03163732830072372,0.1837032950077463,0.15901444581938487,0.029872682443116087
TK (mg/g),0.42972966775398824,0.27618305001347226,0.05188414490715369,0.03954175323698288,0.16840778314854107,0.03163732830072372,0.19505737803916648,0.15901444581938487,0.029872682443116087
NH4+-N (mg/g),0.06955144876157045,0.27618305001347226,0.05188414490715369,-0.30408111266987914,0.16840778314854107,0.03163732830072372,-0.21332257195069723,0.15901444581938487,0.029872682443116087
NO3--N (mg/g),-0.0012291496238975293,0.27618305001347226,0.05188414490715369,0.006111113689677016,0.16840778314854107,0.03163732830072372,0.008562269361547121,0.15901444581938487,0.029872682443116087
AN (mg/g),0.011800963716310012,0.27618305001347226,0.05188414490715369,-0.10262411913273199,0.16840778314854107,0.03163732830072372,-0.06755415851414288,0.15901444581938487,0.029872682443116087
AP (mg/g),0.08893813981808556,0.27618305001347226,0.05188414490715369,-0.36120233369250315,0.16840778314854107,0.03163732830072372,-0.22819526426714046,0.15901444581938487,0.029872682443116087
AK (mg/g),0.010363446718200324,0.27618305001347226,0.05188414490715369,-0.002381175421247167,0.16840778314854107,0.03163732830072372,-0.04557006070630364,0.15901444581938487,0.029872682443116087
